sasdate,FEDFUNDS
1959-03-01,0.3699999999999996
1959-04-01,0.1600000000000001
1959-05-01,-0.06
1959-06-01,0.4900000000000002
1959-07-01,0.08
1959-08-01,0.0299999999999998
1959-09-01,0.2599999999999998
1959-10-01,0.2200000000000002
1959-11-01,0.02
1959-12-01,-0.0099999999999997
1960-01-01,0.0
1960-02-01,-0.02
1960-03-01,-0.1300000000000003
1960-04-01,0.08
1960-05-01,-0.0699999999999998
1960-06-01,-0.5300000000000002
1960-07-01,-0.0899999999999998
1960-08-01,-0.25
1960-09-01,-0.3799999999999999
1960-10-01,-0.1299999999999999
1960-11-01,-0.0300000000000002
1960-12-01,-0.4599999999999999
1961-01-01,-0.53
1961-02-01,1.09
1961-03-01,-0.52
1961-04-01,-0.53
1961-05-01,0.49
1961-06-01,-0.25
1961-07-01,-0.56
1961-08-01,0.8300000000000001
1961-09-01,-0.1200000000000001
1961-10-01,0.3799999999999999
1961-11-01,0.3500000000000001
1961-12-01,-0.2799999999999998
1962-01-01,-0.1800000000000001
1962-02-01,0.2200000000000002
1962-03-01,0.48
1962-04-01,-0.0700000000000002
1962-05-01,-0.4199999999999999
1962-06-01,0.3200000000000003
1962-07-01,0.0299999999999998
1962-08-01,0.2200000000000002
1962-09-01,-0.0300000000000002
1962-10-01,0.0
1962-11-01,0.04
1962-12-01,-0.0099999999999997
1963-01-01,-0.0100000000000002
1963-02-01,0.08
1963-03-01,-0.02
1963-04-01,-0.08
1963-05-01,0.1
1963-06-01,-0.0099999999999997
1963-07-01,0.0299999999999998
1963-08-01,0.4700000000000002
1963-09-01,-0.0100000000000002
1963-10-01,0.02
1963-11-01,-0.02
1963-12-01,-0.1
1964-01-01,0.1
1964-02-01,0.0
1964-03-01,-0.0499999999999998
1964-04-01,0.04
1964-05-01,0.0299999999999998
1964-06-01,0.0
1964-07-01,-0.08
1964-08-01,0.08
1964-09-01,-0.0499999999999998
1964-10-01,-0.0900000000000003
1964-11-01,0.1600000000000001
1964-12-01,0.33
1965-01-01,0.0499999999999998
1965-02-01,0.08
1965-03-01,0.0699999999999998
1965-04-01,0.04
1965-05-01,0.0099999999999997
1965-06-01,-0.0499999999999998
1965-07-01,0.04
1965-08-01,0.0300000000000002
1965-09-01,-0.1000000000000005
1965-10-01,0.0600000000000005
1965-11-01,0.0199999999999995
1965-12-01,0.2200000000000006
1966-01-01,0.0999999999999996
1966-02-01,0.1799999999999997
1966-03-01,0.0600000000000005
1966-04-01,0.0099999999999997
1966-05-01,0.2300000000000004
1966-06-01,0.2699999999999996
1966-07-01,0.1299999999999999
1966-08-01,0.2300000000000004
1966-09-01,-0.1299999999999999
1966-10-01,0.1299999999999999
1966-11-01,0.2299999999999995
1966-12-01,-0.3599999999999994
1967-01-01,-0.4599999999999999
1967-02-01,0.0599999999999996
1967-03-01,-0.4699999999999997
1967-04-01,-0.4800000000000004
1967-05-01,-0.1099999999999998
1967-06-01,0.04
1967-07-01,-0.1899999999999999
1967-08-01,0.1099999999999998
1967-09-01,0.0900000000000003
1967-10-01,-0.1100000000000003
1967-11-01,0.25
1967-12-01,0.3799999999999999
1968-01-01,0.1000000000000005
1968-02-01,0.0999999999999996
1968-03-01,0.3399999999999998
1968-04-01,0.71
1968-05-01,0.3600000000000003
1968-06-01,-0.0499999999999998
1968-07-01,-0.04
1968-08-01,0.0
1968-09-01,-0.25
1968-10-01,0.1299999999999999
1968-11-01,-0.0899999999999998
1968-12-01,0.1999999999999993
1969-01-01,0.2800000000000002
1969-02-01,0.3100000000000005
1969-03-01,0.1799999999999997
1969-04-01,0.6200000000000001
1969-05-01,1.2599999999999998
1969-06-01,0.2300000000000004
1969-07-01,-0.2900000000000009
1969-08-01,0.5800000000000001
1969-09-01,-0.0399999999999991
1969-10-01,-0.1500000000000003
1969-11-01,-0.1500000000000003
1969-12-01,0.120000000000001
1970-01-01,0.0099999999999997
1970-02-01,0.0
1970-03-01,-1.2200000000000006
1970-04-01,0.3399999999999998
1970-05-01,-0.1499999999999994
1970-06-01,-0.3399999999999998
1970-07-01,-0.4000000000000003
1970-08-01,-0.5899999999999999
1970-09-01,-0.33
1970-10-01,-0.0899999999999998
1970-11-01,-0.6000000000000005
1970-12-01,-0.6999999999999993
1971-01-01,-0.7600000000000007
1971-02-01,-0.4199999999999995
1971-03-01,-0.0100000000000002
1971-04-01,0.4500000000000002
1971-05-01,0.4699999999999997
1971-06-01,0.2800000000000002
1971-07-01,0.3999999999999994
1971-08-01,0.2600000000000007
1971-09-01,-0.0200000000000004
1971-10-01,-0.3499999999999996
1971-11-01,-0.29
1971-12-01,-0.7700000000000005
1972-01-01,-0.6299999999999999
1972-02-01,-0.2099999999999999
1972-03-01,0.5300000000000002
1972-04-01,0.3399999999999998
1972-05-01,0.0999999999999996
1972-06-01,0.1900000000000004
1972-07-01,0.0899999999999998
1972-08-01,0.2599999999999998
1972-09-01,0.0600000000000005
1972-10-01,0.1799999999999997
1972-11-01,0.0099999999999997
1972-12-01,0.2700000000000004
1973-01-01,0.6100000000000003
1973-02-01,0.6399999999999997
1973-03-01,0.5099999999999998
1973-04-01,0.0300000000000002
1973-05-01,0.7199999999999998
1973-06-01,0.6500000000000004
1973-07-01,1.91
1973-08-01,0.0999999999999996
1973-09-01,0.2799999999999993
1973-10-01,-0.7699999999999996
1973-11-01,0.0199999999999995
1973-12-01,-0.08
1974-01-01,-0.2999999999999989
1974-02-01,-0.6799999999999997
1974-03-01,0.379999999999999
1974-04-01,1.16
1974-05-01,0.8000000000000007
