sasdate,FEDFUNDS
1959-03-01,
1959-04-01,-0.20999999999999952
1959-05-01,-0.22000000000000008
1959-06-01,0.5500000000000003
1959-07-01,-0.4100000000000002
1959-08-01,-0.0500000000000002
1959-09-01,0.22999999999999998
1959-10-01,-0.03999999999999959
1959-11-01,-0.2000000000000002
1959-12-01,-0.0299999999999997
1960-01-01,0.0099999999999997
1960-02-01,-0.02
1960-03-01,-0.1100000000000003
1960-04-01,0.2100000000000003
1960-05-01,-0.1499999999999998
1960-06-01,-0.46000000000000046
1960-07-01,0.44000000000000045
1960-08-01,-0.1600000000000002
1960-09-01,-0.1299999999999999
1960-10-01,0.25
1960-11-01,0.0999999999999997
1960-12-01,-0.4299999999999997
1961-01-01,-0.07000000000000012
1961-02-01,1.62
1961-03-01,-1.61
1961-04-01,-0.010000000000000009
1961-05-01,1.02
1961-06-01,-0.74
1961-07-01,-0.31000000000000005
1961-08-01,1.3900000000000001
1961-09-01,-0.9500000000000002
1961-10-01,0.5
1961-11-01,-0.029999999999999805
1961-12-01,-0.6299999999999999
1962-01-01,0.0999999999999997
1962-02-01,0.4000000000000003
1962-03-01,0.2599999999999998
1962-04-01,-0.5500000000000002
1962-05-01,-0.34999999999999964
1962-06-01,0.7400000000000002
1962-07-01,-0.2900000000000005
1962-08-01,0.1900000000000004
1962-09-01,-0.2500000000000004
1962-10-01,0.0300000000000002
1962-11-01,0.04
1962-12-01,-0.0499999999999997
1963-01-01,-4.996003610813204e-16
1963-02-01,0.0900000000000002
1963-03-01,-0.1
1963-04-01,-0.06
1963-05-01,0.18
1963-06-01,-0.10999999999999971
1963-07-01,0.0399999999999995
1963-08-01,0.4400000000000004
1963-09-01,-0.48000000000000037
1963-10-01,0.0300000000000002
1963-11-01,-0.04
1963-12-01,-0.08
1964-01-01,0.2
1964-02-01,-0.1
1964-03-01,-0.0499999999999998
1964-04-01,0.0899999999999998
1964-05-01,-0.0100000000000002
1964-06-01,-0.0299999999999998
1964-07-01,-0.08
1964-08-01,0.16
1964-09-01,-0.1299999999999998
1964-10-01,-0.0400000000000005
1964-11-01,0.2500000000000004
1964-12-01,0.16999999999999993
1965-01-01,-0.2800000000000002
1965-02-01,0.0300000000000002
1965-03-01,-0.010000000000000203
1965-04-01,-0.029999999999999798
1965-05-01,-0.0300000000000003
1965-06-01,-0.0599999999999995
1965-07-01,0.0899999999999998
1965-08-01,-0.0099999999999998
1965-09-01,-0.1300000000000007
1965-10-01,0.160000000000001
1965-11-01,-0.04000000000000099
1965-12-01,0.20000000000000112
1966-01-01,-0.12000000000000101
1966-02-01,0.08000000000000008
1966-03-01,-0.11999999999999919
1966-04-01,-0.050000000000000794
1966-05-01,0.2200000000000007
1966-06-01,0.039999999999999175
1966-07-01,-0.13999999999999968
1966-08-01,0.1000000000000005
1966-09-01,-0.3600000000000003
1966-10-01,0.2599999999999998
1966-11-01,0.09999999999999962
1966-12-01,-0.5899999999999989
1967-01-01,-0.10000000000000053
1967-02-01,0.5199999999999995
1967-03-01,-0.5299999999999992
1967-04-01,-0.01000000000000073
1967-05-01,0.3700000000000006
1967-06-01,0.1499999999999998
1967-07-01,-0.2299999999999999
1967-08-01,0.2999999999999997
1967-09-01,-0.019999999999999504
1967-10-01,-0.20000000000000062
1967-11-01,0.3600000000000003
1967-12-01,0.1299999999999999
1968-01-01,-0.27999999999999936
1968-02-01,-9.020562075079397e-16
1968-03-01,0.2400000000000002
1968-04-01,0.37000000000000016
1968-05-01,-0.34999999999999964
1968-06-01,-0.41000000000000014
1968-07-01,0.0099999999999998
1968-08-01,0.04
1968-09-01,-0.25
1968-10-01,0.3799999999999999
1968-11-01,-0.2199999999999997
1968-12-01,0.2899999999999991
1969-01-01,0.0800000000000009
1969-02-01,0.030000000000000304
1969-03-01,-0.1300000000000008
1969-04-01,0.4400000000000004
1969-05-01,0.6399999999999997
1969-06-01,-1.0299999999999994
1969-07-01,-0.5200000000000014
1969-08-01,0.870000000000001
1969-09-01,-0.6199999999999992
1969-10-01,-0.11000000000000121
1969-11-01,0.0
1969-12-01,0.2700000000000013
1970-01-01,-0.11000000000000129
1970-02-01,-0.0099999999999997
1970-03-01,-1.2200000000000006
1970-04-01,1.5600000000000005
1970-05-01,-0.4899999999999992
1970-06-01,-0.1900000000000004
1970-07-01,-0.0600000000000005
1970-08-01,-0.18999999999999956
1970-09-01,0.25999999999999984
1970-10-01,0.2400000000000002
1970-11-01,-0.5100000000000007
1970-12-01,-0.09999999999999876
1971-01-01,-0.060000000000001386
1971-02-01,0.3400000000000012
1971-03-01,0.4099999999999993
1971-04-01,0.46000000000000035
1971-05-01,0.019999999999999518
1971-06-01,-0.1899999999999995
1971-07-01,0.11999999999999922
1971-08-01,-0.13999999999999874
1971-09-01,-0.2800000000000011
1971-10-01,-0.3299999999999992
1971-11-01,0.05999999999999961
1971-12-01,-0.4800000000000005
1972-01-01,0.14000000000000057
1972-02-01,0.42
1972-03-01,0.7400000000000002
1972-04-01,-0.19000000000000045
1972-05-01,-0.2400000000000002
1972-06-01,0.09000000000000079
1972-07-01,-0.10000000000000059
1972-08-01,0.16999999999999998
1972-09-01,-0.1999999999999993
1972-10-01,0.11999999999999919
1972-11-01,-0.16999999999999998
1972-12-01,0.26000000000000073
1973-01-01,0.3399999999999999
1973-02-01,0.02999999999999936
1973-03-01,-0.1299999999999999
1973-04-01,-0.4799999999999996
1973-05-01,0.6899999999999995
1973-06-01,-0.0699999999999994
1973-07-01,1.2599999999999996
1973-08-01,-1.8100000000000003
1973-09-01,0.17999999999999972
